app_id,game_name,game_type,is_free_to_play,release_year,avg_initial_price,min_initial_price,max_initial_price,price_volatility,avg_final_price,min_final_price,max_final_price,avg_discount,max_discount,discount_frequency,total_discount_days,total_observation_days,price_trend,seasonal_discount_pattern,best_discount_month,worst_discount_month,max_savings,avg_savings_when_discounted,good_buy_time
10,Counter-Strike,game,0.0,2000.0,9.99,9.99,9.99,0.0,9.123874239350911,0.99,9.99,8.661257606490873,90,0.09939148073022312,49,493,0.0,188.1942461935191,12,2,9.0,8.714285714285714,0
100,Counter-Strike: Condition Zero Deleted Scenes,game,0.0,2004.0,9.99,9.99,9.99,0.0,9.122113821138209,0.99,9.99,8.678861788617887,90,0.09959349593495935,49,492,0.0,188.39947350291988,12,2,9.0,8.714285714285714,0
10090,Call of Duty: World at War,game,0.0,2008.0,19.99,19.99,19.99,0.0,18.488985801217037,9.99,19.99,7.505070993914807,50,0.15010141987829614,74,493,0.0,58.64122374696863,12,2,9.999999999999998,9.999999999999998,0
10180,Call of Duty: Modern Warfare 2,game,0.0,2009.0,19.99,19.99,19.99,0.0,19.28878048780488,14.99,19.99,3.5060975609756095,25,0.1402439024390244,69,492,0.0,15.673929820503623,12,2,4.999999999999998,4.999999999999999,0
10190,Call of Duty: Modern Warfare 2 - Multiplayer,game,0.0,2009.0,19.990000000000002,19.99,19.99,3.556337049123997e-15,19.28735234215886,14.99,19.99,3.513238289205703,25,0.14052953156822812,69,491,0.0,15.405536197059932,12,2,4.999999999999998,4.999999999999999,0
102500,Kingdoms of Amalur: Reckoning,game,0.0,2012.0,19.990000000000002,19.99,19.99,3.5566156170208035e-15,18.246578947368423,4.99,19.99,8.717105263157896,75,0.1162280701754386,53,456,0.0,127.33892918631504,12,2,14.999999999999998,14.999999999999998,0
10270,Disciples III: Reincarnation,game,0.0,2014.0,14.969757085020246,9.99,14.99,0.3178195580851259,13.36348178137652,2.99,14.99,10.708502024291498,80,0.13562753036437247,67,494,0.10998466022154847,145.36471614339723,12,2,12.0,11.843283582089553,1
104900,ORION: Prelude,game,0.0,2013.0,0.9900000000000001,0.99,0.99,1.111348441056667e-16,0.9548785425101215,0.69,0.99,3.5121457489878543,30,0.15789473684210525,78,494,0.0,8.330290157105873,9,2,0.30000000000000004,0.22243589743589745,0
10500,Empire: Total War,game,0.0,2009.0,24.99000000000001,24.99,24.99,1.066901114737199e-14,22.431446028513243,6.24,24.99,10.234215885947046,75,0.1364562118126273,67,491,0.0,126.11251768871897,12,2,18.75,18.75,1
105450,Age of Empires® III: Complete Collection,game,0.0,2012.0,39.989999999999995,39.99,39.99,7.112688910193676e-15,36.439020408163266,9.99,39.99,8.877551020408163,75,0.11836734693877551,58,490,0.0,131.27801744661497,12,2,30.0,29.999655172413792,0
105600,Terraria,game,0.0,2011.0,9.99,9.99,9.99,0.0,9.33077079107505,4.99,9.99,6.592292089249493,50,0.1359026369168357,67,493,0.0,54.03115150933957,12,2,5.0,4.850746268656716,0
10680,Aliens vs. Predator,game,0.0,2010.0,15.24557809330629,14.99,23.99,1.4964708892744791,13.897099391480731,2.99,14.99,7.626774847870182,80,0.09533468559837728,47,493,0.24686111402212624,131.2348342331404,12,2,19.2,14.144680851063839,0
107100,Bastion,game,0.0,2011.0,14.990000000000002,14.99,14.99,1.778157505690667e-15,13.184838056680162,2.24,14.99,12.034412955465587,85,0.15182186234817813,75,494,0.0,128.3136684190642,12,2,12.75,11.89,1
107200,Space Pirates and Zombies,game,0.0,2011.0,9.989999999999998,9.99,9.99,1.778157505690667e-15,8.992145748987852,2.0,9.99,9.979757085020243,80,0.1700404858299595,84,494,0.0,87.76975164864749,12,3,7.99,5.868333333333334,0
